#
#
# Table of the atomic volume per atom of Tantalum
# through a range of temperatures and pressures
#
# Temperature  Pressure      Volume
# (degree K)    (MBar)    (cubic Bohrs)
#
 3900.000000000    8.57143    53.6297 
 3900.000000000    8.77551    53.8755 
 3900.000000000    8.97959    54.0639 
 3900.000000000    9.18367    54.1351 
 3900.000000000    9.38776    54.0194 
 3900.000000000    9.59184    53.636 
 3900.000000000    9.79592    52.8928 
 3900.000000000    10    51.6854 
  
 4200.000000000    0    132.651 
 4200.000000000    0.204082    121.866 
 4200.000000000    0.408163    112.735 
 4200.000000000    0.612245    105.053 
 4200.000000000    0.816327    98.6305 
 4200.000000000    1.02041    93.2957 
 4200.000000000    1.22449    88.8907 
 4200.000000000    1.42857    85.2724 
 4200.000000000    1.63265    82.3116 
 4200.000000000    1.83673    79.8925 
 4200.000000000    2.04082    77.912 
 4200.000000000    2.2449    76.2791 
 4200.000000000    2.44898    74.9139 
 4200.000000000    2.65306    73.7476 
 4200.000000000    2.85714    72.7215 
 4200.000000000    3.06122    71.7862 
 4200.000000000    3.26531    70.9014 
 4200.000000000    3.46939    70.0348 
 4200.000000000    3.67347    69.162 
 4200.000000000    3.87755    68.2652 
 4200.000000000    4.08163    67.3334 
 4200.000000000    4.28571    66.3609 
 4200.000000000    4.4898    65.3471 
 4200.000000000    4.69388    64.2962 
 4200.000000000    4.89796    63.2158 
 4200.000000000    5.10204    62.1168 
